timestamp,bid,ask,refined_state,forecasted_vol_bid,forecasted_vol_ask,positions_bid,positions_ask,adjusted_position_size_bid,adjusted_position_size_ask
2024-11-04 14:25:35.059,1.09033,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:38.804,1.09035,1.09036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:38.858,1.09037,1.09038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:38.968,1.09035,1.09036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:39.074,1.09035,1.09037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:39.639,1.09036,1.09037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:39.743,1.09037,1.09038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.051,1.09035,1.09037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.155,1.09034,1.09035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.258,1.09033,1.09035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.362,1.09033,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.721,1.09034,1.09035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:40.826,1.09036,1.09037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:41.135,1.09035,1.09036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:41.240,1.09034,1.09035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:43.679,1.09033,1.09035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:45.950,1.09033,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:46.054,1.09032,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:54.665,1.09032,1.09033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:54.769,1.09032,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:55.887,1.09033,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04 14:25:58.920,1.09032,1.09034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
